iter	Passed	Remaining
0	63	638425
1	76	381422
2	87	291994
3	99	249231
4	111	221958
5	124	208009
6	130	186722
7	144	179985
8	156	173379
9	167	167246
10	178	161771
11	191	159388
12	204	157418
13	215	153686
14	229	152538
15	239	149205
16	249	146574
17	260	144451
18	272	142899
19	287	143505
20	306	145408
21	322	146136
22	341	147925
23	360	149830
24	381	152092
25	403	154944
26	422	156060
27	439	156603
28	461	158554
29	475	158048
30	488	156985
31	500	155781
32	514	155386
33	527	154510
34	548	156087
35	573	158631
36	589	158808
37	605	158611
38	618	158025
39	632	157410
40	648	157443
41	664	157458
42	676	156605
43	693	156879
44	707	156543
45	717	155356
46	732	155088
47	746	154741
48	766	155691
49	781	155555
50	797	155498
51	816	156186
52	831	155968
53	848	156256
54	868	156988
55	884	156987
56	898	156811
57	912	156383
58	927	156226
59	941	155946
60	954	155560
61	967	155152
62	986	155568
63	1000	155381
64	1012	154759
65	1025	154427
66	1040	154261
67	1055	154144
68	1068	153779
69	1083	153658
70	1095	153228
71	1107	152776
72	1115	151717
73	1129	151451
74	1143	151305
75	1157	151095
76	1170	150865
77	1183	150489
78	1195	150168
79	1207	149779
80	1218	149207
81	1230	148889
82	1245	148845
83	1259	148678
84	1270	148241
85	1282	147818
86	1296	147681
87	1303	146849
88	1317	146771
89	1331	146598
90	1345	146517
91	1375	148141
92	1411	150392
93	1474	155387
94	1561	162769
95	1613	166448
96	1626	166090
97	1645	166267
98	1678	167885
99	1711	169415
100	1731	169706
101	1738	168660
102	1754	168543
103	1769	168387
104	1785	168274
105	1801	168196
106	1818	168108
107	1833	167943
108	1848	167709
109	1862	167415
110	1877	167284
111	1892	167077
112	1909	167044
113	1925	166943
114	1939	166679
115	1952	166373
116	1965	166060
117	1979	165806
118	1993	165542
119	2007	165296
120	2022	165150
121	2038	165040
122	2054	164947
123	2068	164768
124	2085	164737
125	2092	163945
126	2107	163847
127	2124	163819
128	2133	163254
129	2144	162805
130	2160	162782
131	2175	162664
132	2191	162602
133	2205	162388
134	2220	162247
135	2233	161982
136	2246	161714
137	2263	161733
138	2285	162123
139	2298	161864
140	2313	161768
141	2328	161661
142	2343	161554
143	2360	161530
144	2374	161372
145	2388	161241
146	2405	161235
147	2415	160792
148	2431	160728
149	2448	160760
150	2465	160818
151	2481	160795
152	2496	160671
153	2516	160870
154	2532	160872
155	2543	160510
156	2558	160377
157	2571	160196
158	2585	160013
159	2600	159960
160	2615	159868
161	2629	159659
162	2642	159454
163	2656	159295
164	2669	159111
165	2682	158886
166	2694	158677
167	2709	158558
168	2725	158528
169	2738	158369
170	2754	158344
171	2768	158193
172	2784	158144
173	2799	158086
174	2813	157931
175	2828	157899
176	2843	157824
177	2858	157738
178	2879	157966
179	2894	157928
180	2910	157889
181	2928	158003
182	2943	157917
183	2951	157471
184	2967	157426
185	2982	157361
186	2997	157284
187	3013	157282
188	3029	157248
189	3041	157037
190	3059	157139
191	3066	156656
192	3085	156766
193	3104	156904
194	3120	156923
195	3136	156902
196	3157	157104
197	3177	157305
198	3194	157339
199	3208	157222
200	3221	157037
201	3232	156795
202	3251	156912
203	3266	156866
204	3283	156900
205	3298	156839
206	3312	156730
207	3323	156438
208	3336	156323
209	3351	156238
210	3363	156061
211	3375	155845
212	3388	155697
213	3401	155550
214	3412	155320
215	3426	155213
216	3438	155032
217	3451	154880
218	3465	154776
219	3481	154777
220	3494	154617
221	3508	154543
222	3520	154356
223	3534	154261
224	3547	154111
225	3560	153991
226	3574	153888
227	3587	153762
228	3595	153409
229	3608	153284
230	3622	153206
231	3636	153105
232	3651	153051
233	3669	153163
234	3683	153041
235	3697	152957
236	3715	153053
237	3730	153007
238	3746	153026
239	3762	153008
240	3772	152774
241	3786	152672
242	3797	152494
243	3809	152318
244	3820	152119
245	3831	151921
246	3844	151805
