lead_number,do_not_email,do_not_call,converted,total_visits,total_time_spent_on_website,page_views_per_visit,search,magazine,newspaper_article,update_me_on_upcoming_bike_rallies,newspaper,digital_advertisement,through_recommendations,receive_more_updates_about_our_accessories,update_me_on_discounts,get_updates_on_dm_content,asymmetrique_activity_score,asymmetrique_profile_score,i_agree_to_pay_the_amount_through_cheque
660737,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
660728,No,No,0,5.0,674,2.5,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
660727,No,No,1,2.0,1532,2.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
660719,No,No,0,1.0,305,1.0,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
660681,No,No,1,2.0,1428,1.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
660680,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
660673,No,No,1,2.0,1640,2.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
660664,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
660624,No,No,0,2.0,71,2.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
660616,No,No,0,4.0,58,4.0,No,No,No,No,No,No,No,No,No,No,13.0,16.0,No
660608,No,No,1,8.0,1351,8.0,No,No,No,No,No,No,No,No,No,No,15.0,14.0,No
660570,No,No,1,8.0,1343,2.67,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
660562,No,No,1,11.0,1538,11.0,No,No,No,No,No,No,No,No,No,No,16.0,16.0,No
660558,No,No,0,5.0,170,5.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
660553,Yes,No,0,1.0,481,1.0,No,No,No,No,No,No,No,No,No,No,16.0,17.0,No
660547,No,No,1,6.0,1012,6.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
660540,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
660534,No,No,0,6.0,973,6.0,No,No,No,No,No,No,No,No,No,No,13.0,13.0,No
660522,No,No,1,6.0,1688,3.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
660509,No,No,0,3.0,98,3.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
660479,No,No,0,1.0,233,1.0,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
660478,No,No,0,4.0,377,1.33,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
660471,No,No,1,1.0,1013,1.0,No,No,No,No,No,No,No,No,No,No,15.0,20.0,No
660461,No,No,0,4.0,771,4.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
660458,No,No,1,6.0,1137,1.5,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
660447,No,No,1,3.0,1068,3.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
660432,No,No,1,4.0,1000,2.0,No,No,No,No,No,No,No,No,No,No,11.0,18.0,No
660424,No,No,1,6.0,1315,6.0,No,No,No,No,No,No,No,No,No,No,15.0,19.0,No
660423,No,No,0,5.0,182,5.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
660410,No,No,1,3.0,78,3.0,No,No,No,No,No,No,No,No,No,No,16.0,18.0,No
660402,No,No,1,7.0,1174,3.5,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
660374,No,No,0,3.0,88,1.5,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
660361,No,No,0,4.0,223,2.0,No,No,No,No,No,No,No,No,No,No,15.0,13.0,No
660339,No,No,0,3.0,74,1.5,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
660333,No,No,1,4.0,16,2.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
660321,No,No,1,3.0,98,3.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
660312,No,No,0,4.0,1622,4.0,No,No,No,No,No,No,No,No,No,No,12.0,18.0,No
660267,No,No,1,5.0,563,5.0,No,No,No,No,No,No,No,No,No,No,13.0,20.0,No
660255,No,No,0,2.0,310,2.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
660236,No,No,1,4.0,25,4.0,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
660235,No,No,0,3.0,342,3.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
660222,Yes,No,0,7.0,38,7.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
660215,No,No,0,5.0,199,5.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
660203,No,No,0,5.0,222,5.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
660194,No,No,0,6.0,275,3.0,No,No,No,No,No,No,No,No,No,No,10.0,18.0,No
660180,No,No,0,4.0,287,2.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
660174,No,No,0,2.0,547,2.0,No,No,No,No,No,No,No,No,No,No,15.0,20.0,No
