lead_number,do_not_email,do_not_call,total_visits,total_time_spent_on_website,page_views_per_visit,search,magazine,newspaper_article,update_me_on_upcoming_bike_rallies,newspaper,digital_advertisement,through_recommendations,receive_more_updates_about_our_accessories,update_me_on_discounts,get_updates_on_dm_content,asymmetrique_activity_score,asymmetrique_profile_score,i_agree_to_pay_the_amount_through_cheque
661000,No,No,5.0,285.0,5.0,No,No,No,No,No,No,No,No,No,No,12.0,17.0,No
661001,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,16.0,16.0,No
661002,No,No,6.0,94.0,6.0,No,No,No,No,No,No,No,No,No,No,11.0,15.0,No
661003,No,No,2.0,68.0,2.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
661004,No,No,2.0,1651.0,2.0,No,No,No,No,No,No,No,No,No,No,,,No
661005,No,No,4.0,1688.0,4.0,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
661006,No,No,3.0,519.0,3.0,No,No,No,No,No,No,No,No,No,No,,,No
661007,Yes,No,2.0,238.0,2.0,No,No,No,No,No,No,No,No,No,No,,,No
661008,No,No,4.0,1203.0,2.0,No,No,No,No,No,No,No,,No,No,13.0,13.0,No
661009,No,No,4.0,40.0,2.0,No,No,No,No,No,No,No,,No,No,16.0,15.0,No
661010,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,,No,No,14.0,15.0,No
661011,No,No,3.0,168.0,1.5,No,No,No,No,No,No,No,,No,No,,,No
661012,No,No,6.0,151.0,1.0,No,No,No,No,No,No,No,,No,No,16.0,15.0,No
661013,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,,No,No,15.0,15.0,No
661014,No,No,4.0,941.0,2.0,No,No,No,,No,No,No,No,No,No,15.0,18.0,No
661015,No,No,8.0,266.0,8.0,No,No,No,,No,No,No,No,No,No,14.0,15.0,No
661016,No,No,7.0,5.0,7.0,No,No,No,,No,No,No,No,No,No,,,No
661017,No,No,2.0,267.0,1.0,No,No,No,,No,No,No,No,No,No,,,No
661018,No,No,5.0,,1.25,No,No,No,,No,No,No,No,No,No,,,No
661019,No,No,0.0,,0.0,No,No,No,,No,No,No,No,No,No,,,No
661020,No,No,0.0,,0.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
661021,No,No,0.0,,0.0,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
661022,No,No,3.0,,3.0,No,No,No,No,No,No,No,No,No,No,,,No
661023,No,No,0.0,,0.0,No,No,No,No,No,No,No,No,No,No,,,No
661024,No,No,3.0,87.0,3.0,No,No,No,No,No,No,No,No,No,No,,,No
661025,No,No,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,No,,,No
